"id","name","clean","times_displayed","times_chosen","created_at","updated_at"
12691,"Adoring Bambino",1,5,1,"2020-03-17 13:32:00","2021-04-04 11:31:23"
19459,"Adoring Bandit",1,6,0,"2020-03-17 13:32:00","2021-07-10 02:19:12"
10435,"Adoring Beast",0,5,2,"2020-03-17 13:32:00","2021-05-26 16:56:14"
4513,"Adoring Beaver",0,6,1,"2020-03-17 13:32:00","2021-09-05 20:42:53"
23971,"Adoring Blowtorch",1,6,0,"2020-03-17 13:32:00","2021-07-17 05:23:19"
14947,"Adoring Bobcat",1,6,3,"2020-03-17 13:32:00","2021-11-06 13:29:28"
2257,"Adoring Bonehead",0,6,0,"2020-03-17 13:32:00","2021-08-26 17:17:50"
21715,"Adoring Brain",1,6,1,"2020-03-17 13:32:00","2021-06-19 09:48:54"
35208,"Adoring Buffoon",1,6,1,"2020-03-17 13:32:00","2021-06-30 12:51:23"
35882,"Adoring Bunny",1,6,0,"2020-03-17 13:32:00","2021-10-07 12:05:05"
6769,"Adoring Butterfly",1,5,1,"2020-03-17 13:32:00","2021-04-16 10:49:36"
26227,"Adoring Cad",1,6,1,"2020-03-17 13:32:00","2021-05-28 17:02:17"
17203,"Adoring Canoe",1,5,0,"2020-03-17 13:32:00","2021-04-08 16:30:20"
1129,"Adoring Captain",1,6,1,"2020-03-17 13:32:00","2021-05-04 10:04:05"
20587,"Adoring Cheetah",1,6,1,"2020-03-17 13:32:00","2021-07-28 02:35:30"
11563,"Adoring Cherub",1,5,1,"2020-03-17 13:32:00","2021-04-22 11:49:31"
5641,"Adoring Chickpea",1,6,1,"2020-03-17 13:32:00","2021-05-17 21:36:23"
37893,"Adoring Chicky",0,5,1,"2020-03-17 13:32:00","2021-05-26 15:19:14"
25099,"Adoring Chive",1,6,1,"2020-03-17 13:32:00","2021-06-15 08:22:09"
16075,"Adoring Clown",1,5,0,"2020-03-17 13:32:00","2021-03-25 11:37:11"
3385,"Adoring Crackerjack",1,6,0,"2020-03-17 13:32:00","2021-08-28 05:06:21"
36219,"Adoring Cub",1,6,0,"2020-03-17 13:32:00","2021-09-17 14:22:27"
22843,"Adoring Cupcake",1,6,0,"2020-03-17 13:32:00","2021-07-07 09:49:23"
13819,"Adoring Cupid",1,5,1,"2020-03-17 13:32:00","2021-04-12 14:58:09"
7897,"Adoring Cutie-pie",1,5,2,"2020-03-17 13:32:00","2021-04-10 22:06:24"
27355,"Adoring Cutlery",1,6,1,"2020-03-17 13:32:00","2021-07-18 21:20:40"
18331,"Adoring Daisy",1,6,1,"2020-03-17 13:32:00","2021-07-11 07:53:39"
9025,"Adoring Dandelion",1,6,2,"2020-03-17 13:32:00","2021-08-21 02:46:41"
33871,"Adoring Dawg",0,6,2,"2020-03-17 13:32:00","2021-09-03 21:11:19"
28483,"Adoring Devil",1,6,1,"2020-03-17 13:32:00","2021-08-02 21:58:21"
565,"Adoring Dish",1,6,0,"2020-03-17 13:32:00","2021-05-03 11:56:34"
20023,"Adoring Doctor",1,6,2,"2020-03-17 13:32:00","2021-06-12 02:13:58"
10999,"Adoring Dolphin",1,5,3,"2020-03-17 13:32:00","2021-05-19 16:26:29"
5077,"Adoring Doofus",1,6,3,"2020-03-17 13:32:00","2021-10-07 01:32:40"
24535,"Adoring Dragon",1,6,0,"2020-03-17 13:32:00","2021-06-09 07:26:04"
15511,"Adoring Dreamboat",1,5,1,"2020-03-17 13:32:00","2021-03-17 09:43:15"
2821,"Adoring Drummer",1,6,0,"2020-03-17 13:32:00","2021-05-26 09:09:00"
22279,"Adoring Drunkard",0,6,2,"2020-03-17 13:32:00","2021-06-17 09:55:10"
32197,"Adoring Duckling",1,6,2,"2020-03-17 13:32:00","2021-08-12 10:56:36"
13255,"Adoring Eyelashes",1,5,0,"2020-03-17 13:32:00","2021-05-14 11:44:00"
7333,"Adoring Fiddlehead",1,6,1,"2020-03-17 13:32:00","2021-10-14 07:30:33"
26791,"Adoring Fire",1,6,2,"2020-03-17 13:32:00","2021-05-29 09:20:54"
17767,"Adoring Flirt",0,6,0,"2020-03-17 13:32:00","2021-06-15 12:21:39"
1693,"Adoring Fondue",1,6,0,"2020-03-17 13:32:00","2021-08-29 22:56:58"
21151,"Adoring Fox",1,6,1,"2020-03-17 13:32:00","2021-08-11 01:11:26"
37556,"Adoring Friend",1,6,0,"2020-03-17 13:32:00","2021-09-24 23:32:49"
12127,"Adoring Gambler",1,5,1,"2020-03-17 13:32:00","2021-03-11 20:31:25"
6205,"Adoring Gazelle",1,6,0,"2020-03-17 13:32:00","2021-05-26 09:21:17"
25663,"Adoring Geek",1,6,0,"2020-03-17 13:32:00","2021-05-26 09:51:23"
38230,"Adoring Gladiator",1,6,1,"2020-03-17 13:32:00","2021-09-25 20:51:01"
16639,"Adoring Gremlin",1,6,0,"2020-03-17 13:32:00","2021-11-13 20:54:05"
3949,"Adoring Hammer",1,6,0,"2020-03-17 13:32:00","2021-05-25 13:07:25"
23407,"Adoring Hawk",1,5,1,"2020-03-17 13:32:00","2021-03-22 03:03:28"
31523,"Adoring Hellion",0,6,1,"2020-03-17 13:32:00","2021-08-06 10:39:44"
14383,"Adoring Hippie",1,6,1,"2020-03-17 13:32:00","2021-10-18 20:34:26"
8461,"Adoring Honey",1,6,0,"2020-03-17 13:32:00","2021-10-10 04:38:10"
27919,"Adoring Hooligan",1,6,0,"2020-03-17 13:32:00","2021-06-18 13:20:07"
18895,"Adoring Hoot",1,6,3,"2020-03-17 13:32:00","2021-06-23 09:14:58"
9589,"Adoring Hunter",1,6,0,"2020-03-17 13:32:00","2021-10-08 17:25:33"
34871,"Adoring Imp",1,6,0,"2020-03-17 13:32:00","2021-09-25 20:51:29"
29047,"Adoring Jester",1,6,2,"2020-03-17 13:32:00","2021-08-07 01:14:01"
283,"Adoring Joker",1,6,2,"2020-03-17 13:32:00","2021-07-04 00:46:51"
19741,"Adoring Kitten",1,6,1,"2020-03-17 13:32:00","2021-07-10 23:34:41"
10717,"Adoring Knees",1,5,1,"2020-03-17 13:32:00","2021-05-12 18:00:20"
4795,"Adoring Knight",1,6,1,"2020-03-17 13:32:00","2021-09-01 10:14:43"
34534,"Adoring Kraken",1,6,3,"2020-03-17 13:32:00","2021-07-18 21:20:45"
24253,"Adoring Legume",1,6,2,"2020-03-17 13:32:00","2021-06-10 15:36:03"
15229,"Adoring Leopard",1,6,2,"2020-03-17 13:32:00","2021-11-16 11:03:09"
34208,"Adoring Lioness",1,6,0,"2020-03-17 13:32:00","2021-08-11 16:19:33"
2539,"Adoring Lulu",1,6,0,"2020-03-17 13:32:00","2021-09-13 06:04:31"
32534,"Adoring Lumberjack",1,6,1,"2020-03-17 13:32:00","2021-06-15 09:29:49"
21997,"Adoring Man-child",0,6,0,"2020-03-17 13:32:00","2021-07-22 11:34:06"
12973,"Adoring Manservant",0,5,0,"2020-03-17 13:32:00","2021-05-04 02:29:04"
7051,"Adoring Mariachi",1,6,1,"2020-03-17 13:32:00","2021-09-30 15:22:11"
38893,"Adoring Mess",1,5,0,"2020-03-17 13:32:00","2021-05-14 17:19:37"
26509,"Adoring Milkshake",0,6,2,"2020-03-17 13:32:00","2021-07-24 03:05:58"
17485,"Adoring Minx",0,6,1,"2020-03-17 13:32:00","2021-07-07 16:07:24"
32860,"Adoring Mouse",1,6,1,"2020-03-17 13:32:00","2021-06-10 15:36:03"
1411,"Adoring Music",1,6,2,"2020-03-17 13:32:00","2021-08-24 17:03:04"
20869,"Adoring Nerd",1,6,2,"2020-03-17 13:32:00","2021-06-08 11:12:30"
11845,"Adoring Ninja",1,5,0,"2020-03-17 13:32:00","2021-04-03 22:27:48"
25381,"Adoring Nobody",1,6,0,"2020-03-17 13:32:00","2021-07-02 04:43:51"
30849,"Adoring Octopus",1,6,3,"2020-03-17 13:32:00","2021-06-02 17:00:04"
16357,"Adoring Onion",1,5,3,"2020-03-17 13:32:00","2021-03-19 20:18:24"
3667,"Adoring Oracle",1,6,3,"2020-03-17 13:32:00","2021-05-19 11:26:38"
23125,"Adoring Panda",1,6,2,"2020-03-17 13:32:00","2021-06-22 15:39:24"
14101,"Adoring Peach",1,5,2,"2020-03-17 13:32:00","2021-03-12 20:36:06"
8179,"Adoring Peacock",1,6,2,"2020-03-17 13:32:00","2021-10-24 21:12:41"
27637,"Adoring Peppercorn",1,6,1,"2020-03-17 13:32:00","2021-06-02 12:14:41"
38556,"Adoring Piglet",1,6,2,"2020-03-17 13:32:00","2021-09-01 07:54:20"
18613,"Adoring Pinkie",1,6,1,"2020-03-17 13:32:00","2021-06-12 02:12:04"
9307,"Adoring Pixie",1,5,2,"2020-03-17 13:32:00","2021-05-07 12:21:00"
36545,"Adoring Platypus",1,5,1,"2020-03-17 13:32:00","2021-07-02 07:24:33"
28765,"Adoring Popstar",1,6,2,"2020-03-17 13:32:00","2021-05-28 17:07:02"
847,"Adoring Porpoise",1,6,1,"2020-03-17 13:32:00","2021-09-03 05:53:01"
37219,"Adoring Prankster",1,6,1,"2020-03-17 13:32:00","2021-05-29 21:17:51"
20305,"Adoring Proposal",1,6,1,"2020-03-17 13:32:00","2021-06-09 21:38:12"
11281,"Adoring Pumpkin",1,5,1,"2020-03-17 13:32:00","2021-05-07 11:05:18"
5359,"Adoring Puppet",1,5,0,"2020-03-17 13:32:00","2021-05-03 08:06:24"
30186,"Adoring Puppy",1,6,2,"2020-03-17 13:32:00","2021-08-04 15:29:14"
31860,"Adoring Python",0,6,0,"2020-03-17 13:32:00","2021-08-10 12:05:23"
15793,"Adoring Rake",1,5,2,"2020-03-17 13:32:00","2021-04-10 22:34:14"
36882,"Adoring Rapscallion",1,6,0,"2020-03-17 13:32:00","2021-09-17 04:48:22"
24817,"Adoring Rascal",1,6,1,"2020-03-17 13:32:00","2021-07-26 10:35:54"
3103,"Adoring Rogue",0,6,1,"2020-03-17 13:32:00","2021-09-14 12:13:20"
22561,"Adoring Ruble",1,6,1,"2020-03-17 13:32:00","2021-07-28 03:08:31"
13537,"Adoring Sailor",1,5,0,"2020-03-17 13:32:00","2021-03-13 08:17:58"
